#korona's total length 396.638868940
#lon, lat, nazwa, 'rzutowany' metr walu
19.676574679, 49.979651961, SW_DOWN-430, 376.895587434
19.676574552, 49.979642970, SW_DOWN-431, 377.895570492
19.676574424, 49.979633979, SW_DOWN-432, 378.895553549
19.676574297, 49.979624988, SW_DOWN-433, 379.895536607
19.676574170, 49.979615997, SW_DOWN-434, 380.895519665
19.676574036, 49.979607006, SW_DOWN-435, 381.895499729
19.676573893, 49.979598015, SW_DOWN-436, 382.895475504
19.676573750, 49.979589024, SW_DOWN-437, 383.895451277
19.676573607, 49.979580033, SW_DOWN-438, 384.866830791
19.676573464, 49.979571042, SW_DOWN-439, 385.866777029
19.676573321, 49.979562051, SW_DOWN-440, 386.866723268
19.676573178, 49.979553061, SW_DOWN-441, 387.866669505
19.676573035, 49.979544070, SW_DOWN-442, 388.866615743
19.676572803, 49.979535080, SW_DOWN-443, 389.866379176
19.676572155, 49.979526099, SW_DOWN-444, 390.865295335
19.676571508, 49.979517117, SW_DOWN-445, 391.864211494
19.676570860, 49.979508135, SW_DOWN-446, 392.863127653
19.676570213, 49.979499154, SW_DOWN-447, 393.862043810
19.676600599, 49.979474598, SW_UP-528, 0.000000001
19.676600546, 49.979465607, SW_UP-529, 0.954434590
19.676600550, 49.979456615, SW_UP-530, 1.954425342
19.676600617, 49.979447624, SW_UP-531, 2.954414482
19.676600683, 49.979438633, SW_UP-532, 3.954403621
19.676600750, 49.979429641, SW_UP-533, 4.954392761
19.676601103, 49.979420653, SW_UP-534, 5.954061645
19.676601474, 49.979411665, SW_UP-535, 6.953709912
19.676601845, 49.979402677, SW_UP-536, 7.953358179
19.676602217, 49.979393688, SW_UP-537, 8.910430016
19.676602588, 49.979384700, SW_UP-538, 9.833889180
19.676602959, 49.979375712, SW_UP-539, 10.833859227
19.676603371, 49.979366725, SW_UP-540, 11.833798043
